old,new
/vacation-rentals/ocean-reef-resort-2bdrm-ocean-view-condo.html,/myrtle-beach/units/ocean-reef-resort-2-bedroom-ocean-view-condo
/vacation-rentals/ocean-reef-resort-2bdrm-angle-oceanfront-condo.html,/myrtle-beach/units/ocean-reef-resort-2-bedroom-oceanfront-angle-condo
/vacation-rentals/ocean-reef-resort-3bdrm-angle-oceanfront-condo.html,/myrtle-beach/units/ocean-reef-resort-3-bedroom-oceanfront-angle-condo
/vacation-rentals/ocean-reef-resort-3bdrm-oceanfront-penthouse.html,/myrtle-beach/units/ocean-reef-resort-3-bedroom-oceanfront-penthouse
/vacation-rentals/ocean-reef-resort-4bdrm-oceanfront-condo.html,/myrtle-beach/units/ocean-reef-resort-4-bedroom-oceanfront-condo
/vacation-rentals/oceans-one-resort-1-bedroom-oceanfront-type11.html,/myrtle-beach/units/oceans-one-resort-1-bedroom-oceanfront-a
/vacation-rentals/oceans-one-resort-1-bedroom-oceanfront-type7.html,/myrtle-beach/units/oceans-one-resort-1-bedroom-oceanfront-c
/vacation-rentals/oceans-one-resort-1-bedroom-oceanfront-type9.html,/myrtle-beach/units/oceans-one-resort-1-bedroom-oceanfront-d
/vacation-rentals/oceans-one-resort-2-bedroom-oceanfront-type3.html,/myrtle-beach/units/oceans-one-resort-2-bedroom-oceanfront-j
/vacation-rentals/oceans-one-resort-2-bedroom-oceanfront-type4.html,/myrtle-beach/units/oceans-one-resort-2-bedroom-oceanfront-k
/vacation-rentals/oceans-one-resort-2-bedroom-oceanfront-type10.html,/myrtle-beach/units/oceans-one-resort-2-bedroom-panoramic-oceanfront-view-f
/vacation-rentals/oceans-one-resort-2-bedroom-oceanfront-type12.html,/myrtle-beach/units/oceans-one-resort-2-bedroom-panoramic-oceanfront-view-g
/vacation-rentals/oceans-one-resort-2-bedroom-oceanfront-type14.html,/myrtle-beach/units/oceans-one-resort-2-bedroom-panoramic-oceanfront-views-h
/vacation-rentals/oceans-one-resort-3-bedroom-oceanfront-type1.html,/myrtle-beach/units/oceans-one-resort-3-bedroom-oceanfront-condo
/vacation-rentals/paradise-resort-oceanfront-deluxe-queen-suite.html,/myrtle-beach/units/paradise-resort-1-bedroom-oceanfront-deluxe-condo
/vacation-rentals/paradise-resort-oceanfront-deluxe-%20king-suite.html,/myrtle-beach/units/paradise-resort-1-bedroom-oceanfront-deluxe-king-condo
/vacation-rentals/paradise-resort-oceanfront-deluxe-king-suite.html,/myrtle-beach/units/paradise-resort-1-bedroom-oceanfront-deluxe-king-condo
